prompt,health_ailment,date
I have Benign Prostatic Hyperplasia (BPH) since 03/21/2020 – 03/25/2020.,Benign Prostatic Hyperplasia (BPH),03/21/2020 – 03/25/2020
I’ve been suffering from Postural Orthostatic Tachycardia Syndrome (POTS) ever since 03/15/2020 – 03/19/2020.,Postural Orthostatic Tachycardia Syndrome (POTS),03/15/2020 – 03/19/2020
I have had Hypothyroidism since Past 6 hours.,Hypothyroidism,Past 6 hours
I have had Psoriasis Urinary Tract Infection (UTI) since Since the COVID-19 pandemic began.,Psoriasis Urinary Tract Infection (UTI),Since the COVID-19 pandemic began
I've been experiencing Fatigue from Iron Deficiency since Since the beginning of this year.,Fatigue from Iron Deficiency,Since the beginning of this year
I've been experiencing Shin Splints since 03/11/2020 – 03/14/2020.,Shin Splints,03/11/2020 – 03/14/2020
I have Polycystic Ovary Syndrome (PCOS) since 2019/11/03 – 2019/11/07.,Polycystic Ovary Syndrome (PCOS),2019/11/03 – 2019/11/07
Orthostatic Intolerance have been affecting me since 03/11/2020 – 03/14/2020.,Orthostatic Intolerance,03/11/2020 – 03/14/2020
I have had Fibromyalgia since Last 36 hours.,Fibromyalgia,Last 36 hours
"Since 2020/01/28 – 2020/02/02, I’ve been dealing with Anemia Eczema (Atopic Dermatitis).",Anemia Eczema (Atopic Dermatitis),2020/01/28 – 2020/02/02
"I have Chronic Fatigue Syndrome since Today, 08:00 AM – 11:00 AM.",Chronic Fatigue Syndrome,"Today, 08:00 AM – 11:00 AM"
I have had Rosacea since 03/21/2020 – 03/25/2020.,Rosacea,03/21/2020 – 03/25/2020
I have Attention Deficit Hyperactivity Disorder (ADHD) since 03/11/2020 – 03/14/2020.,Attention Deficit Hyperactivity Disorder (ADHD),03/11/2020 – 03/14/2020
I have had Hypertension (High Blood Pressure) since Since last Monday.,Hypertension (High Blood Pressure),Since last Monday
Acid Reflux (GERD) have been affecting me since 03/06/2020 – 03/10/2020.,Acid Reflux (GERD),03/06/2020 – 03/10/2020
I have Irritable Bowel Syndrome (IBS) since 2020/01/11 – 2020/01/15.,Irritable Bowel Syndrome (IBS),2020/01/11 – 2020/01/15
I have Insomnia since From 07:00 PM to 10:00 PM yesterday.,Insomnia,From 07:00 PM to 10:00 PM yesterday
I have had Migraine since For the past 10 minutes.,Migraine,For the past 10 minutes
I have Exercise-Induced Hypoglycemia since 03/20/2020 – 03/27/2020.,Exercise-Induced Hypoglycemia,03/20/2020 – 03/27/2020
"Since Since the beginning of this year, I’ve been dealing with Chronic Back Pain.",Chronic Back Pain,Since the beginning of this year
Celiac Disease have been affecting me since 2020/02/11 – 2020/02/14.,Celiac Disease,2020/02/11 – 2020/02/14
I have had Shingles (Herpes Zoster) since 2020/01/11 – 2020/01/15.,Shingles (Herpes Zoster),2020/01/11 – 2020/01/15
I've been experiencing Exercise-Induced Hypoglycemia since Since my last doctor’s visit.,Exercise-Induced Hypoglycemia,Since my last doctor’s visit
I’ve been suffering from Psoriasis Urinary Tract Infection (UTI) ever since Past 2 weeks.,Psoriasis Urinary Tract Infection (UTI),Past 2 weeks
I have had Chronic Kidney Disease since Past 2 weeks.,Chronic Kidney Disease,Past 2 weeks
"Since Last month, I’ve been dealing with Orthostatic Intolerance.",Orthostatic Intolerance,Last month
"Since Last weekend, I’ve been dealing with Shingles (Herpes Zoster).",Shingles (Herpes Zoster),Last weekend
I've been experiencing Gout since Last weekend.,Gout,Last weekend
I have had Heart Palpitations since Past week.,Heart Palpitations,Past week
I have had Migraine since 2019/11/03 – 2019/11/07.,Migraine,2019/11/03 – 2019/11/07
I have had Achilles Tendinitis since Between 02/10/2020 and 02/20/2020.,Achilles Tendinitis,Between 02/10/2020 and 02/20/2020
"Since 03/15/2020 – 03/19/2020, I’ve been dealing with Type 2 Diabetes.",Type 2 Diabetes,03/15/2020 – 03/19/2020
Chronic Kidney Disease have been affecting me since 2020/01/11 – 2020/01/15.,Chronic Kidney Disease,2020/01/11 – 2020/01/15
Asthma have been affecting me since 2019/11/05 – 2019/11/06.,Asthma,2019/11/05 – 2019/11/06
I've been experiencing Peripheral Neuropathy since Between 02/10/2020 and 02/20/2020.,Peripheral Neuropathy,Between 02/10/2020 and 02/20/2020
"Since Yesterday, I’ve been dealing with Achilles Tendinitis.",Achilles Tendinitis,Yesterday
I’ve been suffering from Allergic Rhinitis (Seasonal Allergies) ever since 03/01/2020 – 03/15/2020.,Allergic Rhinitis (Seasonal Allergies),03/01/2020 – 03/15/2020
I have Hypotension (Low Blood Pressure) since 2020/01/28 – 2020/02/02.,Hypotension (Low Blood Pressure),2020/01/28 – 2020/02/02
I've been experiencing Runner’s Knee (Patellofemoral Pain Syndrome) since 03/20/2020 – 03/27/2020.,Runner’s Knee (Patellofemoral Pain Syndrome),03/20/2020 – 03/27/2020
Benign Prostatic Hyperplasia (BPH) have been affecting me since Yesterday.,Benign Prostatic Hyperplasia (BPH),Yesterday
I’ve been suffering from Delayed Onset Muscle Soreness (DOMS) ever since Yesterday.,Delayed Onset Muscle Soreness (DOMS),Yesterday
I've been experiencing Muscle Strain since 2020/02/22 – 2020/02/25.,Muscle Strain,2020/02/22 – 2020/02/25
I've been experiencing Iliotibial Band Syndrome (ITBS) since The last quarter of 2019.,Iliotibial Band Syndrome (ITBS),The last quarter of 2019
"Since 2019/11/29 – 2019/12/15, I’ve been dealing with Peripheral Neuropathy.",Peripheral Neuropathy,2019/11/29 – 2019/12/15
I have had Fibromyalgia since 2020/01/28 – 2020/02/02.,Fibromyalgia,2020/01/28 – 2020/02/02
Iliotibial Band Syndrome (ITBS) have been affecting me since Past 30 days.,Iliotibial Band Syndrome (ITBS),Past 30 days
Peripheral Neuropathy have been affecting me since Past 30 days.,Peripheral Neuropathy,Past 30 days
I have had Exertional Rhabdomyolysis since During the holiday season 2019.,Exertional Rhabdomyolysis,During the holiday season 2019
I’ve been suffering from Hypothyroidism ever since 2020/02/11 – 2020/02/14.,Hypothyroidism,2020/02/11 – 2020/02/14
I’ve been suffering from Joint Sprain ever since Past 6 hours.,Joint Sprain,Past 6 hours
I’ve been suffering from Chronic Kidney Disease ever since Since the beginning of this year.,Chronic Kidney Disease,Since the beginning of this year
I have had Anemia Eczema (Atopic Dermatitis) since Past 1 hour.,Anemia Eczema (Atopic Dermatitis),Past 1 hour
"Since Since the COVID-19 pandemic began, I’ve been dealing with Asthma.",Asthma,Since the COVID-19 pandemic began
"Since Past 3 hours, I’ve been dealing with Obesity.",Obesity,Past 3 hours
I have Polycystic Ovary Syndrome (PCOS) since 2019/11/29 – 2019/12/15.,Polycystic Ovary Syndrome (PCOS),2019/11/29 – 2019/12/15
I've been experiencing Acid Reflux (GERD) since This month (up to today).,Acid Reflux (GERD),This month (up to today)
Glaucoma have been affecting me since This month (up to today).,Glaucoma,This month (up to today)
I have had Shin Splints since 2020/01/01 – 2020/01/07.,Shin Splints,2020/01/01 – 2020/01/07
"Since 12/30/2019 – 01/10/2020, I’ve been dealing with Runner’s Knee (Patellofemoral Pain Syndrome).",Runner’s Knee (Patellofemoral Pain Syndrome),12/30/2019 – 01/10/2020
Restless Legs Syndrome have been affecting me since Yesterday.,Restless Legs Syndrome,Yesterday
I have Restless Legs Syndrome since 2019/11/03 – 2019/11/07.,Restless Legs Syndrome,2019/11/03 – 2019/11/07
I’ve been suffering from Type 2 Diabetes ever since 2020/01/20 – 2020/01/25.,Type 2 Diabetes,2020/01/20 – 2020/01/25
I have had Hypertension (High Blood Pressure) since Every morning this week.,Hypertension (High Blood Pressure),Every morning this week
Osteoarthritis have been affecting me since 2019/11/05 – 2019/11/06.,Osteoarthritis,2019/11/05 – 2019/11/06
"Since 2019/12/01 – 2019/12/05, I’ve been dealing with Dehydration.",Dehydration,2019/12/01 – 2019/12/05
I’ve been suffering from Fatigue from Iron Deficiency ever since The second half of November 2019.,Fatigue from Iron Deficiency,The second half of November 2019
I have Psoriasis Urinary Tract Infection (UTI) since During the holiday season 2019.,Psoriasis Urinary Tract Infection (UTI),During the holiday season 2019
I've been experiencing Anxiety Disorder since During Spring 2020.,Anxiety Disorder,During Spring 2020
I've been experiencing Fibromyalgia since 2020/01/11 – 2020/01/15.,Fibromyalgia,2020/01/11 – 2020/01/15
I've been experiencing Hypotension (Low Blood Pressure) since The first week of November 2019.,Hypotension (Low Blood Pressure),The first week of November 2019
"Since 2019/12/20 – 2019/12/27, I’ve been dealing with Gout.",Gout,2019/12/20 – 2019/12/27
"I have had Pneumonia since Today, 08:00 AM – 11:00 AM.",Pneumonia,"Today, 08:00 AM – 11:00 AM"
I have Dehydration since The entire month of February 2020.,Dehydration,The entire month of February 2020
I have Chronic Back Pain since 12/30/2019 – 01/10/2020.,Chronic Back Pain,12/30/2019 – 01/10/2020
I have Bradycardia (Slow Heart Rate) since 2019/12/08 – 2019/12/12.,Bradycardia (Slow Heart Rate),2019/12/08 – 2019/12/12
Chronic Back Pain have been affecting me since Past 30 days.,Chronic Back Pain,Past 30 days
"Since 03/06/2020 – 03/10/2020, I’ve been dealing with Achilles Tendinitis.",Achilles Tendinitis,03/06/2020 – 03/10/2020
Polycystic Ovary Syndrome (PCOS) have been affecting me since 12/30/2019 – 01/10/2020.,Polycystic Ovary Syndrome (PCOS),12/30/2019 – 01/10/2020
"Since For the past 10 minutes, I’ve been dealing with Chronic Back Pain.",Chronic Back Pain,For the past 10 minutes
I’ve been suffering from Asthma ever since The first week of November 2019.,Asthma,The first week of November 2019
"Since 2020/02/05 – 2020/02/10, I’ve been dealing with Achilles Tendinitis.",Achilles Tendinitis,2020/02/05 – 2020/02/10
I've been experiencing Achilles Tendinitis since For the past 10 minutes.,Achilles Tendinitis,For the past 10 minutes
I have had Orthostatic Intolerance since 2019/11/10 – 2019/11/12.,Orthostatic Intolerance,2019/11/10 – 2019/11/12
Hypotension (Low Blood Pressure) have been affecting me since 03/15/2020 – 03/19/2020.,Hypotension (Low Blood Pressure),03/15/2020 – 03/19/2020
I’ve been suffering from Peptic Ulcer Disease ever since From 07:00 PM to 10:00 PM yesterday.,Peptic Ulcer Disease,From 07:00 PM to 10:00 PM yesterday
I've been experiencing Osteoarthritis since Between 02/10/2020 and 02/20/2020.,Osteoarthritis,Between 02/10/2020 and 02/20/2020
I have Celiac Disease since 12/30/2019 – 01/10/2020.,Celiac Disease,12/30/2019 – 01/10/2020
I’ve been suffering from High Cholesterol (Hyperlipidemia) ever since During Spring 2020.,High Cholesterol (Hyperlipidemia),During Spring 2020
Delayed Onset Muscle Soreness (DOMS) have been affecting me since 03/06/2020 – 03/10/2020.,Delayed Onset Muscle Soreness (DOMS),03/06/2020 – 03/10/2020
"Since Past 30 days, I’ve been dealing with Benign Prostatic Hyperplasia (BPH).",Benign Prostatic Hyperplasia (BPH),Past 30 days
"I have had Insomnia since Today, 08:00 AM – 11:00 AM.",Insomnia,"Today, 08:00 AM – 11:00 AM"
I've been experiencing Tachycardia (Fast Heart Rate) since Since last night at midnight.,Tachycardia (Fast Heart Rate),Since last night at midnight
I have had Peptic Ulcer Disease since 2020/02/15 – 2020/02/20.,Peptic Ulcer Disease,2020/02/15 – 2020/02/20
Muscle Strain have been affecting me since 03/06/2020 – 03/10/2020.,Muscle Strain,03/06/2020 – 03/10/2020
I have Common Cold since 2019/12/01 – 2019/12/05.,Common Cold,2019/12/01 – 2019/12/05
I’ve been suffering from Hypertrophic Cardiomyopathy ever since Past 12 hours.,Hypertrophic Cardiomyopathy,Past 12 hours
I have had Celiac Disease since 2019/11/10 – 2019/11/12.,Celiac Disease,2019/11/10 – 2019/11/12
I’ve been suffering from Polycystic Ovary Syndrome (PCOS) ever since The entire month of February 2020.,Polycystic Ovary Syndrome (PCOS),The entire month of February 2020
I have had Rosacea since The second half of November 2019.,Rosacea,The second half of November 2019
Obesity have been affecting me since Last month.,Obesity,Last month
I have Overtraining Syndrome since Past 2 weeks.,Overtraining Syndrome,Past 2 weeks
I’ve been suffering from Tachycardia (Fast Heart Rate) ever since This month (up to today).,Tachycardia (Fast Heart Rate),This month (up to today)
I have had Celiac Disease since 2019/12/08 – 2019/12/12.,Celiac Disease,2019/12/08 – 2019/12/12
I have had Hypotension (Low Blood Pressure) since The entire month of February 2020.,Hypotension (Low Blood Pressure),The entire month of February 2020
Postural Orthostatic Tachycardia Syndrome (POTS) have been affecting me since 2020/02/22 – 2020/02/25.,Postural Orthostatic Tachycardia Syndrome (POTS),2020/02/22 – 2020/02/25
I’ve been suffering from Anemia Eczema (Atopic Dermatitis) ever since 03/01/2020 – 03/15/2020.,Anemia Eczema (Atopic Dermatitis),03/01/2020 – 03/15/2020
I have had Overtraining Syndrome since 2020/01/01 – 2020/01/07.,Overtraining Syndrome,2020/01/01 – 2020/01/07
I have Fibromyalgia since 2020/01/11 – 2020/01/15.,Fibromyalgia,2020/01/11 – 2020/01/15
I've been experiencing Gallstones since Past 1 hour.,Gallstones,Past 1 hour
Hypotension (Low Blood Pressure) have been affecting me since 03/06/2020 – 03/10/2020.,Hypotension (Low Blood Pressure),03/06/2020 – 03/10/2020
I have had Type 2 Diabetes since 2019/11/18 – 2019/11/22.,Type 2 Diabetes,2019/11/18 – 2019/11/22
Osteoarthritis have been affecting me since 2020/01/20 – 2020/01/25.,Osteoarthritis,2020/01/20 – 2020/01/25
"Since 2020/01/20 – 2020/01/25, I’ve been dealing with Chronic Back Pain.",Chronic Back Pain,2020/01/20 – 2020/01/25
I have had Hypothyroidism since From 07:00 PM to 10:00 PM yesterday.,Hypothyroidism,From 07:00 PM to 10:00 PM yesterday
I've been experiencing Shin Splints since 03/20/2020 – 03/27/2020.,Shin Splints,03/20/2020 – 03/27/2020
I have Acid Reflux (GERD) since 03/21/2020 – 03/25/2020.,Acid Reflux (GERD),03/21/2020 – 03/25/2020
"Since 2019/12/20 – 2019/12/27, I’ve been dealing with Peptic Ulcer Disease.",Peptic Ulcer Disease,2019/12/20 – 2019/12/27
Benign Prostatic Hyperplasia (BPH) have been affecting me since Past 30 days.,Benign Prostatic Hyperplasia (BPH),Past 30 days
I have Allergic Rhinitis (Seasonal Allergies) since Last 3 hours.,Allergic Rhinitis (Seasonal Allergies),Last 3 hours
I’ve been suffering from Obesity ever since 03/11/2020 – 03/14/2020.,Obesity,03/11/2020 – 03/14/2020
I’ve been suffering from Migraine ever since 2019/11/29 – 2019/12/15.,Migraine,2019/11/29 – 2019/12/15
Celiac Disease have been affecting me since Since my last doctor’s visit.,Celiac Disease,Since my last doctor’s visit
I’ve been suffering from Osteoarthritis ever since 2019/11/05 – 2019/11/06.,Osteoarthritis,2019/11/05 – 2019/11/06
I’ve been suffering from Chronic Fatigue Syndrome ever since 03/11/2020 – 03/14/2020.,Chronic Fatigue Syndrome,03/11/2020 – 03/14/2020
I've been experiencing Peptic Ulcer Disease since From 03/01/2020 to 03/07/2020.,Peptic Ulcer Disease,From 03/01/2020 to 03/07/2020
"Since 2020/02/15 – 2020/02/20, I’ve been dealing with Rheumatoid Arthritis.",Rheumatoid Arthritis,2020/02/15 – 2020/02/20
I have had Anxiety Disorder since 2020/02/11 – 2020/02/14.,Anxiety Disorder,2020/02/11 – 2020/02/14
"Since Past 30 days, I’ve been dealing with Acid Reflux (GERD).",Acid Reflux (GERD),Past 30 days
Peripheral Neuropathy have been affecting me since 2020/01/28 – 2020/02/02.,Peripheral Neuropathy,2020/01/28 – 2020/02/02
I've been experiencing Hyperthyroidism since 2020/01/11 – 2020/01/15.,Hyperthyroidism,2020/01/11 – 2020/01/15
I have Runner’s Knee (Patellofemoral Pain Syndrome) since During the holiday season 2019.,Runner’s Knee (Patellofemoral Pain Syndrome),During the holiday season 2019
Overtraining Syndrome have been affecting me since Since turning 30 years old.,Overtraining Syndrome,Since turning 30 years old
"Since Last 36 hours, I’ve been dealing with Anxiety Disorder.",Anxiety Disorder,Last 36 hours
I've been experiencing Allergic Rhinitis (Seasonal Allergies) since 2019/12/15 – 2019/12/19.,Allergic Rhinitis (Seasonal Allergies),2019/12/15 – 2019/12/19
I've been experiencing Heart Palpitations since 2020/01/01 – 2020/01/07.,Heart Palpitations,2020/01/01 – 2020/01/07
